metric,coverage,quantity,point_estimate,ci_low,ci_high,n_bootstrap,metric_set,tie_policy,n_records,n_states,n_selected_covered_records,n_selected_covered_states,n_available,availability_rate
neighborhood_compactness,0.95,mae,0.01916116476782827,0.01905292670287449,0.019272831653493094,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
neighborhood_compactness,0.9,mae,0.019350229677375937,0.019243589717720357,0.019469683016415305,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
neighborhood_compactness,0.8,mae,0.01978379242504915,0.019662869959689463,0.019909063727360156,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
neighborhood_compactness,0.7,mae,0.020113990650364365,0.019986569371661825,0.020238531821753832,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
neighborhood_compactness,0.5,mae,0.02062729779758144,0.020489275249336632,0.02076382752886861,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,,nAURC(MAE),0.7651650092396457,0.7633451140610606,0.7669605681703668,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,1.0,mae,0.018988257266141527,0.018881335861759548,0.019097686517153694,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,0.95,mae,0.01638322700473493,0.016294758538404012,0.01647347478312733,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,0.9,mae,0.015529947394446067,0.01544642228200993,0.015613841335157952,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,0.8,mae,0.014552297153648053,0.014474039337380028,0.014633957970978067,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,0.7,mae,0.013875407376132881,0.013798989054275144,0.013952563459297998,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,0.5,mae,0.0126917788951933,0.012617274411354197,0.012765330223045194,1000,full,fractional,1044759,21783,1044793,21783,1044761,0.9999693719234336
cct_distance_correlation_abs,,nAURC(MAE),1.015187919432501,1.0129178297031314,1.0173026355021828,1000,full,fractional,1044759,21783,1044793,21783,1044759,0.9999674576686483
cct_distance_correlation_abs,1.0,mae,0.01898825726614183,0.018881335861760263,0.01909768651715502,1000,full,fractional,1044759,21783,1044793,21783,1044759,0.9999674576686483
cct_distance_correlation_abs,0.95,mae,0.019030854760197172,0.018923541883250967,0.019143492685032973,1000,full,fractional,1044759,21783,1044793,21783,1044759,0.9999674576686483
cct_distance_correlation_abs,0.9,mae,0.019076125067374775,0.01896517073057123,0.0191915776240645,1000,full,fractional,1044759,21783,1044793,21783,1044759,0.9999674576686483
cct_distance_correlation_abs,0.8,mae,0.019197827451493024,0.01907770855064346,0.019325507836113934,1000,full,fractional,1044759,21783,1044793,21783,1044759,0.9999674576686483
cct_distance_correlation_abs,0.7,mae,0.019314689725599514,0.019190978874237128,0.019443233529452757,1000,full,fractional,1044759,21783,1044793,21783,1044759,0.9999674576686483
cct_distance_correlation_abs,0.5,mae,0.01964818274105155,0.01949893498489137,0.019796544016144883,1000,full,fractional,1044759,21783,1044793,21783,1044759,0.9999674576686483
distance_min,,nAURC(MAE),1.0340717504114436,1.0313034446059297,1.0368239769475722,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_min,1.0,mae,0.018988257266140913,0.018881335861759243,0.019097686517153486,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_min,0.95,mae,0.019097618126841274,0.018986620736496804,0.019211314443583087,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_min,0.9,mae,0.019244411266392192,0.01913337738307447,0.01936071414694055,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_min,0.8,mae,0.019552460839799293,0.01943137432417562,0.019675799559639856,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_min,0.7,mae,0.019828774959586355,0.019695744226148545,0.019952803867713184,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_min,0.5,mae,0.020151830027125218,0.020011430054710923,0.020287872082641392,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_mean,,nAURC(MAE),1.0378971145168883,1.034824628658422,1.0405527990788184,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_mean,1.0,mae,0.01898825726614082,0.018881335861758913,0.019097686517153704,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_mean,0.95,mae,0.01911175689372435,0.019001181776584462,0.019227115779617866,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_mean,0.9,mae,0.019260609276961552,0.01914802798150935,0.019378010089154196,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_mean,0.8,mae,0.019604851042819463,0.019483736859401617,0.019726200743254225,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_mean,0.7,mae,0.019913073750640938,0.01978321738777861,0.02003548982761744,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_mean,0.5,mae,0.020304079912339183,0.020162480067322134,0.020437908731401572,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_median,,nAURC(MAE),1.0378036001076332,1.0348274083890765,1.0405186028998132,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_median,1.0,mae,0.018988257266140854,0.018881335861759087,0.019097686517153392,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_median,0.95,mae,0.019113123537449254,0.019003151618232877,0.019228550862029854,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_median,0.9,mae,0.019261487087485346,0.019149067695932415,0.019376679542608632,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_median,0.8,mae,0.01960495128709949,0.019482156081880718,0.019725437699182988,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_median,0.7,mae,0.0199106600982577,0.019779008421508,0.020031871597961808,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_median,0.5,mae,0.020305994968495375,0.020168467456518898,0.02044050734357179,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_spread,,nAURC(MAE),1.0359502659559858,1.032929116921148,1.0387701200168526,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_spread,1.0,mae,0.018988257266140948,0.018881335861759194,0.01909768651715351,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_spread,0.95,mae,0.01911279830448573,0.019002398650430123,0.01922621772555436,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_spread,0.9,mae,0.019259549644543225,0.019148480688168542,0.01937147220077649,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_spread,0.8,mae,0.01953248053723572,0.01941235267702639,0.019653169226620748,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_spread,0.7,mae,0.019809189675044376,0.01968469194118094,0.019938697622199512,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_spread,0.5,mae,0.02035642661659533,0.020211284224627202,0.020496434931644034,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_norm,,nAURC(MAE),0.9780578612964504,0.9754614910502885,0.9807853890225645,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_norm,1.0,mae,0.018988257266140885,0.018881335861759465,0.01909768651715345,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_norm,0.95,mae,0.018796374312129393,0.01868633250470101,0.01891088437919282,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_norm,0.9,mae,0.018705742316277724,0.018590587427371092,0.018826987599253803,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_norm,0.8,mae,0.018594040882765273,0.018475922250146513,0.01871456056188341,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_norm,0.7,mae,0.0184696840846365,0.018340511999448923,0.01859655685620551,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
distance_norm,0.5,mae,0.018384238535843853,0.018235896092629527,0.018537305603749252,1000,full,fractional,1044759,21783,1044793,21783,1044793,1.0
