dataset,tau_s,flip_rate_unconditional,n_records_total,n_records_estimated,record_coverage_rate,frac_true_within_50ms_of_tau,n_near_tau,flip_rate_conditional_on_near_tau,n_states,n_unsafe_states,screening_recall,screening_false_alarm_rate,screening_referral_load,threshold_flag_load,coverage_referral_load,state_any_estimate_rate,state_complete_coverage_rate,n_states_any_estimate,n_states_complete_coverage,referral_threshold_only_load,referral_coverage_only_load,referral_both_load,referral_neither_load,screening_recall_ci_low,screening_recall_ci_high,screening_false_alarm_rate_ci_low,screening_false_alarm_rate_ci_high,screening_referral_load_ci_low,screening_referral_load_ci_high,n_bootstrap
BUS39,0.1,0.000529291448162459,1044797,1044793,0.9999961715050867,0.011818609045045286,12348,0.04478458049886622,21783,514,0.7023346303501945,0.0014105035497672669,0.017949777349309096,0.017766147913510534,0.00018362943579855852,1.0,0.9998163705642015,21783,21779,0.017766147913510534,0.00018362943579855852,0.0,0.9820502226506909,0.6640159045725647,0.7379492362982929,0.000940243970259882,0.0019280553214957449,0.01615939035027315,0.01964834963044576,2000
BUS39,0.15,0.002081752079119979,1044797,1044793,0.9999961715050867,0.030142812978264592,31493,0.06858667005366272,21783,2207,0.9084730403262347,0.014252145484266449,0.10485240784097691,0.10466877840517835,0.00018362943579855852,1.0,0.9998163705642015,21783,21779,0.10466877840517835,0.00018362943579855852,0.0,0.8951475921590231,0.8963413271867303,0.920018736889448,0.01259402322171098,0.015877282956705995,0.10076665289445898,0.10893816278749484,2000
BUS39,0.2,0.006971715928418357,1044797,1044793,0.9999961715050867,0.08312651405589433,86850,0.0831663788140472,21783,5908,0.9446513202437373,0.025637795275590552,0.27489326539044207,0.27470963595464354,0.00018362943579855852,1.0,0.9998163705642015,21783,21779,0.27470963595464354,0.00018362943579855852,0.0,0.7251067346095579,0.9385604284950335,0.9506388045947981,0.023265912983824275,0.028134860910009527,0.26901597576091446,0.28109075884864343,2000
ELES,0.1,0.0,322823,237168,0.7346688432980302,0.006046346893341429,1434,0.0,4393,0,,0.4031413612565445,0.4031413612565445,0.0,0.4031413612565445,0.7612110175278852,0.5968586387434555,3344,2622,0.0,0.4031413612565445,0.0,0.5968586387434555,,,0.3885727293421352,0.4177099931709538,0.3885727293421352,0.4177099931709538,2000
ELES,0.15,0.002070262430007421,322823,237168,0.7346688432980302,0.026310463468933416,6240,0.07131410256410256,4393,666,0.924924924924925,0.4370807620069761,0.5110402913726383,0.12952424311404506,0.4031413612565445,0.7612110175278852,0.5968586387434555,3344,2622,0.10789893011609379,0.3815160482585932,0.021625312997951285,0.4889597086273617,0.9026839027327781,0.943578550942821,0.421393797610217,0.4523070580114721,0.496471659458229,0.5253812884133849,2000
ELES,0.2,0.009925453686838021,322823,237168,0.7346688432980302,0.08280628077986912,19639,0.09745913743062275,4393,2740,0.9751824817518249,0.543254688445251,0.8126564989756431,0.5117231959936263,0.4031413612565445,0.7612110175278852,0.5968586387434555,3344,2622,0.4095151377190986,0.30093330298201687,0.10220805827452766,0.18734350102435693,0.9693472773169852,0.981011024285887,0.5189885253845736,0.5674015368286343,0.800813794673344,0.8240439335306169,2000
