metric,coverage,quantity,point_estimate,ci_low,ci_high,n_bootstrap
location_weight_mass,,nAURC(MAE),0.9032501583305665,0.8965618591329575,0.9081048579651657,200
location_weight_mass,1.0,mae,0.048627571427021996,0.047615151524072544,0.04958072982083307,200
location_weight_mass,1.0,rmse,0.11107884072436089,0.10869699125178323,0.11329803048108124,200
location_weight_mass,0.95,mae,0.046447193443891546,0.04543505768351294,0.04737917280056082,200
location_weight_mass,0.95,rmse,0.10774319825217223,0.10530190656122274,0.1102392360110349,200
location_weight_mass,0.9,mae,0.044555861789788105,0.04360319618826522,0.04550551668650687,200
location_weight_mass,0.9,rmse,0.10482600800648464,0.10239650669293593,0.10703907484649663,200
location_weight_mass,0.8,mae,0.04403738062345739,0.043090421864902674,0.04493572141896463,200
location_weight_mass,0.8,rmse,0.10493638825928783,0.10233480327206826,0.10726297974292266,200
location_weight_mass,0.7,mae,0.0421571814114498,0.041224629192643934,0.04301348168544205,200
location_weight_mass,0.7,rmse,0.10256330667231615,0.09994546751293176,0.10473955670062189,200
location_weight_mass,0.5,mae,0.04350022179479787,0.04251148669580638,0.04454829371757398,200
location_weight_mass,0.5,rmse,0.10752680191665341,0.10472015012538749,0.11028689664169589,200
n_eff,,nAURC(MAE),0.9932566171704701,0.9874636712489079,1.0006989632130667,200
n_eff,1.0,mae,0.048627571427021996,0.047615151524072544,0.04958072982083307,200
n_eff,1.0,rmse,0.11107884072436089,0.10869699125178321,0.11329803048108125,200
n_eff,0.95,mae,0.04816156494889218,0.04717832624506922,0.04905633930959725,200
n_eff,0.95,rmse,0.10981592776967151,0.10715281540186918,0.11205043092383474,200
n_eff,0.9,mae,0.04812570937362633,0.04701812615289599,0.04908245580399163,200
n_eff,0.9,rmse,0.10951360805122867,0.10704904119094176,0.11184760488094105,200
n_eff,0.8,mae,0.0480180377495141,0.0469184913340825,0.04895501006328666,200
n_eff,0.8,rmse,0.10912359088173217,0.10668633844748641,0.11155791416255373,200
n_eff,0.7,mae,0.0482367575517525,0.04709076893548753,0.049143851359729485,200
n_eff,0.7,rmse,0.10908994676850206,0.10628957643453232,0.11162677659709759,200
n_eff,0.5,mae,0.048843178471327756,0.047546304488225846,0.049945517023438774,200
n_eff,0.5,rmse,0.10925827326462813,0.10637756490727883,0.11195824578207517,200
n_eff_fraction,,nAURC(MAE),1.151262106813788,1.1471600029724314,1.1563318958263646,200
n_eff_fraction,1.0,mae,0.048627571427021996,0.047615151524072544,0.04958072982083308,200
n_eff_fraction,1.0,rmse,0.11107884072436089,0.10869699125178321,0.11329803048108125,200
n_eff_fraction,0.95,mae,0.04987866217929872,0.048809740656035404,0.050925413497607375,200
n_eff_fraction,0.95,rmse,0.11281034822883881,0.11043027045249278,0.11512790984442228,200
n_eff_fraction,0.9,mae,0.05152491305096551,0.05038035111251138,0.05263977529268019,200
n_eff_fraction,0.9,rmse,0.11508595450583259,0.11265620557263038,0.11745490675121649,200
n_eff_fraction,0.8,mae,0.0547708895248328,0.05356528594398193,0.05596877086384337,200
n_eff_fraction,0.8,rmse,0.11981757316504366,0.11720751870059634,0.12232660120222508,200
n_eff_fraction,0.7,mae,0.05762027393401033,0.0562941072123112,0.05881291850461613,200
n_eff_fraction,0.7,rmse,0.1240218276985348,0.12094588117566227,0.12686178932107792,200
n_eff_fraction,0.5,mae,0.06308164795047251,0.06157158960147678,0.06450186890633045,200
n_eff_fraction,0.5,rmse,0.13208974465055612,0.12883401899721228,0.13516124756016965,200
n_neighbors,,nAURC(MAE),0.8391143075868874,0.8322238280583708,0.8448507416417987,200
n_neighbors,1.0,mae,0.048627571427021996,0.047615151524072544,0.04958072982083308,200
n_neighbors,1.0,rmse,0.11107884072436089,0.10869699125178323,0.11329803048108124,200
n_neighbors,0.95,mae,0.04688851254622383,0.04595510740388815,0.04784496132957454,200
n_neighbors,0.95,rmse,0.10791837211275138,0.10559951005132259,0.11009383321397972,200
n_neighbors,0.9,mae,0.045220877081617115,0.04426270680193542,0.04613360903180494,200
n_neighbors,0.9,rmse,0.10502370879041877,0.10255312056932031,0.10732949686328794,200
n_neighbors,0.8,mae,0.04183513376915457,0.040958481083901405,0.042699535523304064,200
n_neighbors,0.8,rmse,0.09826117190833238,0.09604676711145646,0.10056025444172494,200
n_neighbors,0.7,mae,0.03893477582543075,0.03806324139594623,0.039844315976393874,200
n_neighbors,0.7,rmse,0.09265394207988197,0.09020258608318187,0.09494988319814066,200
n_neighbors,0.5,mae,0.034127081036603155,0.03332515985000585,0.0349721993880898,200
n_neighbors,0.5,rmse,0.08532138902419474,0.08286758971429893,0.08754996319285566,200
n_unique_states,,nAURC(MAE),0.835187181537195,0.82816353426554,0.8420318400877707,200
n_unique_states,1.0,mae,0.048627571427021996,0.047615151524072544,0.04958072982083308,200
n_unique_states,1.0,rmse,0.11107884072436089,0.10869699125178321,0.11329803048108125,200
n_unique_states,0.95,mae,0.04692385818283289,0.046003795119784655,0.047863138090174735,200
n_unique_states,0.95,rmse,0.10789002650805699,0.10554025186748575,0.11011467454621499,200
n_unique_states,0.9,mae,0.04533303924777063,0.04440631653166324,0.04623215000942753,200
