metric,coverage,quantity,point_estimate,ci_low,ci_high,n_bootstrap,metric_set,tie_policy,n_records,n_states,n_selected_covered_records,n_selected_covered_states,n_available,availability_rate
location_weight_mass,,nAURC(MAE),0.9090582319658861,0.9062728246867796,0.9120532348880257,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
location_weight_mass,1.0,mae,0.018988302867695712,0.01888133342652307,0.019097784060441474,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
location_weight_mass,0.95,mae,0.017847484249332975,0.017749108649150205,0.017956642132026874,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
location_weight_mass,0.9,mae,0.017698964077562274,0.017593277128456306,0.017806318464631325,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
location_weight_mass,0.8,mae,0.017298232954521424,0.01719930878199189,0.017401878852106444,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
location_weight_mass,0.7,mae,0.01662834899715112,0.016527293969127336,0.016733292151046436,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
location_weight_mass,0.5,mae,0.017118812186005833,0.01700780401139627,0.017230951863649084,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
n_eff,,nAURC(MAE),0.9572294221032225,0.9543925949227118,0.9597247179740457,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
n_eff,1.0,mae,0.018988302867695744,0.01888133342652305,0.019097784060441846,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
n_eff,0.95,mae,0.018823693529934942,0.01871485979024933,0.01893208973408456,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
n_eff,0.9,mae,0.018621067165416973,0.018512448465378334,0.01873464288594057,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
n_eff,0.8,mae,0.018227006045157968,0.018113242773736448,0.018343938486389464,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
n_eff,0.7,mae,0.017917493868959928,0.017794546185543294,0.018039509749811746,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
n_eff,0.5,mae,0.01764629625398136,0.017514711102720078,0.017777246279899413,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
neighborhood_compactness,,nAURC(MAE),1.04723924125477,1.0444118494274577,1.0498450497411747,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
neighborhood_compactness,1.0,mae,0.01898830286769568,0.018881333426522394,0.019097784060441835,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
neighborhood_compactness,0.95,mae,0.01916121269370745,0.019052989674328617,0.01927300585801442,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
neighborhood_compactness,0.9,mae,0.019350280304274686,0.019243636728464287,0.019469720844513722,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
neighborhood_compactness,0.8,mae,0.01978384936883047,0.01966290920077643,0.01990910121887643,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
neighborhood_compactness,0.7,mae,0.020114052811774825,0.01998664963535398,0.02023868354037612,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
neighborhood_compactness,0.5,mae,0.020627387669402985,0.020489212003871042,0.020764067083021108,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,,nAURC(MAE),0.7651672541763224,0.7633453825410984,0.766967131528081,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,1.0,mae,0.018988302867696313,0.01888133342652306,0.019097784060441898,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,0.95,mae,0.01638327800403576,0.01629487387906028,0.016473455364409136,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,0.9,mae,0.01553000293765388,0.015446480066852153,0.015613841185695213,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,0.8,mae,0.014552362272044456,0.014474034130112213,0.014634028773839602,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,0.7,mae,0.013875483549125068,0.013799057041935549,0.013952560288927206,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
cct_weighted_std,0.5,mae,0.012691887770752591,0.012617274847831442,0.01276548545066603,1000,main,fractional,1044761,21783,1044793,21783,1044761,0.9999693719234336
distance_min,,nAURC(MAE),1.0340716522007618,1.0313031146881095,1.036823876191202,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
distance_min,1.0,mae,0.018988302867695702,0.01888133342652275,0.019097784060441683,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
distance_min,0.95,mae,0.019097666284152996,0.018986791247019037,0.019211347175015245,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
distance_min,0.9,mae,0.019244462243272868,0.019133372535013394,0.019360770120447127,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
distance_min,0.8,mae,0.019552517812426368,0.01943143318429287,0.019675917007345556,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
distance_min,0.7,mae,0.019828839972839005,0.019695731383274146,0.01995288300463002,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
distance_min,0.5,mae,0.020151810148494972,0.020011408764456173,0.020287864413294044,1000,main,fractional,1044761,21783,1044793,21783,1044793,1.0
