variant,mae,rmse,n
oracle_generator_and_location,0.04294759532521695,0.10369380090782443,205433
deoracled_generator_selection,0.04974703075122927,0.11857581046187102,237168
deoracled_generator_screening_min,0.05920502697809147,0.1357392872331476,237168
oracle_location_and_generator,0.04294759532521695,0.10369380090782443,205433
deoracled_full_selection,0.15942524347116457,0.2358489540824297,241779
deoracled_full_screening_min,0.22859519437809736,0.29167924745117696,241779
