exclusion_hours,n_records,n_covered_baseline,n_covered_control,coverage_baseline,coverage_control,n_paired,n_states_paired,mae_baseline_marginal,mae_control_marginal,mae_baseline_paired,mae_control_paired,mae_diff,mae_diff_ci_low,mae_diff_ci_high,mae_diff_pct,median_ae_baseline,median_ae_control,state_level_wilcoxon_W,state_level_p_value,state_level_z,state_level_wilcoxon_effect_size_r,n_bootstrap,seed,mae_extra_trees_extratrees_sqrt_surviving,median_ae_extra_trees_extratrees_sqrt_surviving,mae_hist_gradient_boosting_surviving,median_ae_hist_gradient_boosting_surviving,mae_hist_gradient_boosting_hgb_rf_sqrt_surviving,median_ae_hist_gradient_boosting_hgb_rf_sqrt_surviving,mae_hist_gradient_boosting_tblock3h_surviving,median_ae_hist_gradient_boosting_tblock3h_surviving,mae_location_median_surviving,median_ae_location_median_surviving,mae_location_median_extratrees_sqrt_surviving,median_ae_location_median_extratrees_sqrt_surviving,mae_location_median_hgb_rf_sqrt_surviving,median_ae_location_median_hgb_rf_sqrt_surviving,mae_location_median_tblock3h_surviving,median_ae_location_median_tblock3h_surviving,mae_random_forest_surviving,median_ae_random_forest_surviving,mae_random_forest_hgb_rf_sqrt_surviving,median_ae_random_forest_hgb_rf_sqrt_surviving
3.0,322823,237168,132817,0.7346688432980302,0.4114235974512349,132817,1959,0.04974703075122927,0.08947767907331194,0.050642501731153734,0.08947767907331194,0.03883517734215821,0.03640737903213263,0.04144231033855165,76.68495041639696,0.010000258727776268,0.030027800777319924,167586.0,1.2400683869404937e-202,30.373231246738815,0.7012527536510139,1000,42,0.08843027862263042,0.06274414315101406,0.055508575819406165,0.022843328514800698,0.055508575819406165,0.022843328514800698,0.059315863943168394,0.026136937678793604,0.09122936069930808,0.04999999999999999,0.09122936069930808,0.04999999999999999,0.09122936069930808,0.04999999999999999,0.09136537491435585,0.04999999999999999,0.08099144799300743,0.057263866226749116,0.08099144799300743,0.057263866226749116
6.0,322823,237168,75997,0.7346688432980302,0.23541383358682622,75997,1101,0.04974703075122927,0.0945699133365863,0.05321275521006326,0.0945699133365863,0.04135715812652305,0.03807528845908401,0.044498962542345956,77.72038482739913,0.011535487026464786,0.040000000000000036,52936.0,3.7159777970039224e-115,22.80919882924909,0.7019045729840803,1000,42,0.08633578202487979,0.06149486459478776,0.054267945131985414,0.02336037495627946,0.054267945131985414,0.02336037495627946,0.05785139660338629,0.026460063361902153,0.09033475005592326,0.04999999999999999,0.09033475005592326,0.04999999999999999,0.09033475005592326,0.04999999999999999,0.09028553758701002,0.04999999999999999,0.07901736985861067,0.055914418204221106,0.07901736985861067,0.055914418204221106
12.0,322823,237168,41693,0.7346688432980302,0.12915126865186186,41693,597,0.04974703075122927,0.09274454493473293,0.05357826873338579,0.09274454493473293,0.03916627620134714,0.0351853916511252,0.0430207678610627,73.10104847964558,0.0155641801235471,0.04145864421298279,14915.0,1.9396813769529462e-64,16.94953917801883,0.70869583554602,1000,42,0.08684593800569455,0.06193563543817571,0.055094808916378545,0.02458558865930205,0.055094808916378545,0.02458558865930205,0.058675196995696864,0.02795996568875808,0.09244201664548006,0.050000000000000044,0.09244201664548006,0.050000000000000044,0.09244201664548006,0.050000000000000044,0.09210203151608183,0.050000000000000044,0.07972703560440338,0.05697479197965738,0.07972703560440338,0.05697479197965738
24.0,322823,237168,27018,0.7346688432980302,0.08369292150807099,27018,377,0.04974703075122927,0.09155126255652468,0.05126966084541509,0.09155126255652468,0.040281601711109595,0.03546633069952855,0.04477363046563757,78.56810645298403,0.011577513699611047,0.04399021021724621,6011.0,1.980469221750192e-43,13.818167699500322,0.716438620703304,1000,42,0.08753686839141943,0.06170345349713144,0.05623162440808873,0.024406900174276103,0.05623162440808873,0.024406900174276103,0.059840997887074365,0.027908130567270914,0.09408783033533201,0.050000000000000044,0.09408783033533201,0.050000000000000044,0.09408783033533201,0.050000000000000044,0.09378321859501074,0.050000000000000044,0.08036315193672801,0.05664535291484285,0.08036315193672801,0.05664535291484285
48.0,322823,237168,7860,0.7346688432980302,0.024347707567304686,7860,109,0.04974703075122927,0.10514028750349616,0.05612869058802197,0.10514028750349616,0.04901159691547419,0.03934100196676285,0.05905933164831326,87.32004328270114,0.019958994061603563,0.06,458.0,2.5988401891244047e-14,7.616878364086213,0.7329344623149686,1000,42,0.09132889652110279,0.06311965867716499,0.06257747621967635,0.027991441966661174,0.06257747621967635,0.027991441966661174,0.06579604588673973,0.03164866344769468,0.1031615776081425,0.06,0.1031615776081425,0.06,0.1031615776081425,0.06,0.10256106870229008,0.06,0.08374755334387347,0.057787248767375426,0.08374755334387347,0.057787248767375426
