metric,coverage,n,mae,rmse,q90,q95
location_weight_mass,1.0,13893,0.043864504931338005,0.10561110964486378,0.12,0.20999947036290686
location_weight_mass,0.95,13199,0.04096360820906508,0.10015621991106058,0.10999999999999999,0.19999206822941984
location_weight_mass,0.9,12504,0.04093404817740111,0.10017487707630757,0.10999999999999999,0.19999872197334762
location_weight_mass,0.8,11115,0.04105056699104259,0.10066347900839595,0.11224742557925248,0.19999999999151202
location_weight_mass,0.7,9726,0.040394862710957415,0.10160819055206408,0.10999999999999999,0.19999999999999996
location_weight_mass,0.5,6947,0.04414646053273805,0.10875921589890301,0.1299649993457035,0.22004417033107396
n_eff,1.0,13893,0.043864504931338005,0.10561110964486378,0.12,0.20999947036290686
n_eff,0.95,13199,0.043634333435190464,0.10582627392325011,0.11999999998702737,0.2003394226868539
n_eff,0.9,12504,0.04328611380446889,0.10580890776588399,0.1164001447826744,0.20006441709308526
n_eff,0.8,11115,0.041198341611433105,0.10112357726892464,0.10999999999999999,0.1999994125160963
n_eff,0.7,9726,0.04024260405233641,0.10030671866535565,0.10997187631356292,0.19999907461078836
n_eff,0.5,6947,0.039991626343565304,0.1000881838882637,0.10999999914681846,0.19421227733487822
n_neighbors,1.0,13893,0.043864504931338005,0.10561110964486378,0.12,0.20999947036290686
n_neighbors,0.95,13199,0.04418437510501393,0.10605897896049553,0.12,0.21000000000000002
n_neighbors,0.9,12504,0.04347165443146824,0.10512584396244037,0.11999783291113275,0.20976505712069804
n_neighbors,0.8,11115,0.04067562456240026,0.10013649889265346,0.10999963001405341,0.199999980447579
n_neighbors,0.7,9726,0.03885753408797428,0.09748749818791122,0.10000000045779217,0.1837221237369439
n_neighbors,0.5,6947,0.037383144804323816,0.09580036861912053,0.09019928367758612,0.1826943392646527
neighborhood_compactness,1.0,10832,0.04011166608300212,0.09954050828274093,0.10989730335036219,0.1914031587419656
neighborhood_compactness,0.95,10291,0.03969897916402549,0.09913425885909302,0.10045574349365954,0.19001748609514468
neighborhood_compactness,0.9,9749,0.039370008331978616,0.0985745423702505,0.10009221276491309,0.19000000000000003
neighborhood_compactness,0.8,8666,0.039436481715560925,0.09939344573065569,0.10095789792023716,0.19364170052640456
neighborhood_compactness,0.7,7583,0.039013721107912756,0.09955861245054852,0.10009221276491309,0.18999999999867226
neighborhood_compactness,0.5,5416,0.04012971502092796,0.102230434698296,0.10999999999999999,0.1999999868477993
cct_weighted_std,1.0,10832,0.040111666083002116,0.09954050828274094,0.10989730335036219,0.1914031587419656
cct_weighted_std,0.95,10291,0.03684175587330512,0.09484657583205425,0.09026817180451663,0.17006865529615833
cct_weighted_std,0.9,9749,0.03518271680940464,0.09242415958097137,0.08999999999999997,0.16999889381414438
cct_weighted_std,0.8,8666,0.0341349828721101,0.09006041925475211,0.08999999980505988,0.16009230802266758
cct_weighted_std,0.7,7583,0.03180686817103758,0.08471499801358096,0.08000000000000002,0.15999974754798219
cct_weighted_std,0.5,5416,0.031322009721277494,0.08639805202130037,0.08000000000000629,0.15000002832481496
distance_min,1.0,13893,0.043864504931338005,0.10561110964486378,0.12,0.20999947036290686
distance_min,0.95,13199,0.04172099166279251,0.10196582968435859,0.10999999999999999,0.19917327301561588
distance_min,0.9,12504,0.039079993740967135,0.09677196922463052,0.10002169564066218,0.18001418429834662
distance_min,0.8,11115,0.036238819603712315,0.09356281057680697,0.09588124299897685,0.17412370888015713
distance_min,0.7,9726,0.0328782039097374,0.08621612856077054,0.08829857356262835,0.15999999999999992
distance_min,0.5,6947,0.02804234968170087,0.07456769138455858,0.07142245917749176,0.13
distance_mean,1.0,13893,0.043864504931338005,0.10561110964486378,0.12,0.20999947036290686
distance_mean,0.95,13199,0.04313254429013364,0.1045219990038285,0.11998778629066582,0.2
distance_mean,0.9,12504,0.041102329057809764,0.10112158730220697,0.10999999999999999,0.19
distance_mean,0.8,11115,0.0382077850884872,0.09555714465244856,0.10000000000000003,0.17999999999999997
distance_mean,0.7,9726,0.03702838392129602,0.0944862002761374,0.09999999999999998,0.17999999927544968
distance_mean,0.5,6947,0.0339818959842658,0.08712509242428138,0.09000000000000002,0.16688278312935875
distance_median,1.0,13893,0.043864504931338005,0.10561110964486378,0.12,0.20999947036290686
distance_median,0.95,13199,0.04343406445296306,0.10490422157482764,0.11999999999675676,0.20000039664579355
distance_median,0.9,12504,0.04131062708895684,0.1013248757680884,0.10999999999999999,0.19
distance_median,0.8,11115,0.039336185658253364,0.09778151935074522,0.10448069007667356,0.18917761264414035
distance_median,0.7,9726,0.03679627485393399,0.09439562124582968,0.09999999999999998,0.1795984182280051
distance_median,0.5,6947,0.03496930631593453,0.08877632174221563,0.09988478996695856,0.1771950438788363
distance_spread,1.0,13893,0.043864504931338005,0.10561110964486378,0.12,0.20999947036290686
distance_spread,0.95,13199,0.045083117852142605,0.10777085458090999,0.1200043907271857,0.2114789559111428
distance_spread,0.9,12504,0.04504403999638694,0.10761292018368247,0.1200003439591476,0.21010170813156714
distance_spread,0.8,11115,0.04709234524497013,0.11098658748160727,0.12999999999999998,0.21999999999999997
distance_spread,0.7,9726,0.04886322449191577,0.11390797775975932,0.13042181589470886,0.22999999999999993
distance_spread,0.5,6947,0.05344378437792593,0.11990667246031772,0.1497522425470777,0.24
distance_norm,1.0,13893,0.043864504931338005,0.10561110964486378,0.12,0.20999947036290686
distance_norm,0.95,13199,0.041409816758953034,0.10094635742258956,0.10999999999999999,0.1980095757361399
distance_norm,0.9,12504,0.03959172066056538,0.0974639910326179,0.10995558586362825,0.19
distance_norm,0.8,11115,0.03825595114260282,0.09641648046591053,0.10000000000000003,0.18000209500876865
distance_norm,0.7,9726,0.03902408917841743,0.09830103525645506,0.10000000000000003,0.1837221237369439
distance_norm,0.5,6947,0.03317051052986339,0.08796308212569663,0.08000000000000006,0.15446092786279914
