group,n_states,span_days,bursts_6h,bursts_12h,bursts_24h,bursts_48h,bursts_72h
1307,3,0.08333333333333333,1,1,1,1,1
1303,3,0.08333333333333333,1,1,1,1,1
1301,3,0.08333333333333333,1,1,1,1,1
1031,3,0.08333333333333333,1,1,1,1,1
1464,3,0.08333333333333333,1,1,1,1,1
1357,3,0.08333333333333333,1,1,1,1,1
214,3,0.08333333333333333,1,1,1,1,1
1430,3,0.08333333333333333,1,1,1,1,1
1438,3,0.125,1,1,1,1,1
1432,3,0.20833333333333334,1,1,1,1,1
1027,3,0.125,1,1,1,1,1
1001,3,0.16666666666666666,1,1,1,1,1
1055,3,0.08333333333333333,1,1,1,1,1
332,3,0.125,1,1,1,1,1
988,3,0.08333333333333333,1,1,1,1,1
37,3,0.08333333333333333,1,1,1,1,1
218,3,0.08333333333333333,1,1,1,1,1
1255,3,0.08333333333333333,1,1,1,1,1
1251,3,0.08333333333333333,1,1,1,1,1
42,3,0.08333333333333333,1,1,1,1,1
1148,3,0.125,1,1,1,1,1
1166,3,0.08333333333333333,1,1,1,1,1
1663,3,0.08333333333333333,1,1,1,1,1
91,3,0.08333333333333333,1,1,1,1,1
1172,3,0.20833333333333334,1,1,1,1,1
283,3,0.08333333333333333,1,1,1,1,1
1283,3,0.08333333333333333,1,1,1,1,1
1210,3,0.08333333333333333,1,1,1,1,1
476,3,0.08333333333333333,1,1,1,1,1
1712,3,0.08333333333333333,1,1,1,1,1
1715,3,0.08333333333333333,1,1,1,1,1
57,3,0.08333333333333333,1,1,1,1,1
499,3,0.08333333333333333,1,1,1,1,1
504,3,0.08333333333333333,1,1,1,1,1
461,3,0.20833333333333334,1,1,1,1,1
1318,3,0.08333333333333333,1,1,1,1,1
288,3,0.08333333333333333,1,1,1,1,1
1115,3,0.08333333333333333,1,1,1,1,1
317,3,0.08333333333333333,1,1,1,1,1
309,3,0.125,1,1,1,1,1
1015,3,0.08333333333333333,1,1,1,1,1
1375,3,0.08333333333333333,1,1,1,1,1
1040,3,0.16666666666666666,1,1,1,1,1
1075,3,0.08333333333333333,1,1,1,1,1
1104,3,0.08333333333333333,1,1,1,1,1
299,3,0.08333333333333333,1,1,1,1,1
1086,3,0.08333333333333333,1,1,1,1,1
991,3,0.08333333333333333,1,1,1,1,1
913,3,0.08333333333333333,1,1,1,1,1
914,3,0.08333333333333333,1,1,1,1,1
976,3,0.08333333333333333,1,1,1,1,1
953,3,0.08333333333333333,1,1,1,1,1
1495,3,0.08333333333333333,1,1,1,1,1
