quantity,value
dataset,eles/2026-06
scaled_dimensionality,12524
min_slice_members,50
n_query_states_used,294
n_pairs_total,397701
spearman_distance_vs_abs_dcct_mean,0.1412
spearman_frac_positive,0.8367
mean_abs_dcct_nearest_100_s,0.09415
mean_abs_dcct_random_100_s,0.12585
reduction_vs_random_pct,25.18
topo_restricted_k,5
topo_restricted_n_query_used,61
topo_restricted_n_skipped_small_pool,239
topo_restricted_median_pool_size,8.0
topo_restricted_spearman_distance_vs_abs_dcct_mean,0.3796
topo_restricted_spearman_frac_positive,0.8596
topo_restricted_mean_abs_dcct_nearest_5_s,0.05833
topo_restricted_mean_abs_dcct_random_5_s,0.07111
topo_restricted_reduction_vs_random_pct,17.98
index_fidelity_n_query_used,130
index_fidelity_n_skipped_small_pool,170
index_fidelity_mean_recall_at_k,1.0
index_fidelity_min_recall_at_k,1.0
index_fidelity_k,5
