quantity,value
record_level_p_value_original,9.049405299621285e-15
n_records,13893.0
n_states,225.0
mean_err_filter_on,0.043864504931338005
mean_err_filter_off,0.04056489183239933
state_level_wilcoxon_W,8068.0
state_level_p_value,6.891930242803903e-06
state_level_z,-4.496999030068729
state_level_wilcoxon_effect_size_r,-0.3018188129322221
mean_paired_diff_off_minus_on_point,-0.0038493595129949734
mean_paired_diff_ci_low,-0.006133795946456678
mean_paired_diff_ci_high,-0.0018180427693412914
q90_filter_on,0.12
q90_filter_off,0.10995541395468682
q95_filter_on,0.20999947036290686
q95_filter_off,0.19
q99_filter_on,0.519577187031449
q99_filter_off,0.4800109479791403
max_filter_on,1.0899999999947863
max_filter_off,1.329997626621437
