variant,mae,rmse,n
oracle_location_and_generator,0.018384552175804755,0.02961453862104144,1044378
deoracled_full_selection,0.1312353485309238,0.18687515505222568,1044797
deoracled_full_screening_min,0.21181657449250232,0.26428482800379854,1044797
