dataset,n_records_common,n_states_common,n_records_oracle_only,n_records_selection_only,mae_oracle_marginal,n_oracle_marginal,mae_selection_marginal,n_selection_marginal,rel_diff_marginal_pct,mae_oracle_common,mae_selection_common,mean_paired_diff,mean_paired_diff_ci_low,mean_paired_diff_ci_high,rel_diff_common_pct,state_level_wilcoxon_W,state_level_p_value,state_level_z,state_level_wilcoxon_effect_size_r,frac_states_selection_worse,n_bootstrap,seed
bus39,1044388,21783,0,405,0.0181944837217315,1044388,0.018989937355959788,1044793,4.371949467729054,0.0181944837217315,0.018983288702812268,0.0007888049810807693,0.0007725649826899296,0.0008045779866721245,4.3354073308418215,30150695.0,0.0,94.57950475080548,0.6429666947636304,0.783822246706147,1000,42
eles/2026-06,205433,3344,0,31735,0.04294759532521695,205433,0.04974703075122927,237168,15.831935116562839,0.04294759532521695,0.041815520868945646,-0.0011320744562713023,-0.001609884999600584,-0.0006078441736213944,-2.6359437535414183,1320318.5,7.413917122542998e-11,-6.512035540243558,-0.13042343160333353,0.3229665071770335,1000,42
