claim,mean_paired_diff,n_records,n_states,n_topology_groups,ci_low_state,ci_high_state,ci_low_group,ci_high_group,width_ratio_group_over_state,group_ci_crosses_zero,verdict
"A retrieval - gradient boosting, matched records",-0.004748806955300188,229048,3233,681,-0.0061100712229656545,-0.0033869937765471,-0.006747981185627102,-0.0028199663236028838,1.4424910562828175,False,unchanged
"B causal - retrospective, causally covered",0.004824740583186215,181868,2608,736,0.003936226897637885,0.005793579966010408,0.003909126375137953,0.005730906159673146,0.9808473227610409,False,unchanged
"C ablation off - on, seed 42",-0.0037930027965306277,13856,224,185,-0.006151148365683103,-0.0014193771895087116,-0.0060599205049658164,-0.0017130928242108953,0.9186470602471747,False,unchanged
"C ablation off - on, seed 123",-0.0032996130989386813,13893,225,193,-0.005291392377881641,-0.0014196491283645222,-0.005267344035153534,-0.0014830386706600868,0.9774164040875963,False,unchanged
"C ablation off - on, seed 7",-0.0023981119762482733,12961,212,177,-0.004488819729089213,-0.0006926050475452864,-0.004401422225188594,-0.0006598561850612701,0.9856044386313849,False,unchanged
