metric,coverage,quantity,point_estimate,ci_low,ci_high,n_bootstrap,metric_set,tie_policy,n_records,n_states,n_selected_covered_records,n_selected_covered_states,n_available,availability_rate
location_weight_mass,,nAURC(MAE),0.9662680670996127,0.9558774068877207,0.9765189815780317,1000,main,fractional,183422,3344,237168,3344,237168,1.0
location_weight_mass,1.0,mae,0.044320896897076634,0.04299695687453824,0.045689993157712425,1000,main,fractional,183422,3344,237168,3344,237168,1.0
location_weight_mass,0.95,mae,0.043666807431362954,0.042429804280107744,0.04501576514995125,1000,main,fractional,183422,3344,237168,3344,237168,1.0
location_weight_mass,0.9,mae,0.0436062796798032,0.04234551453072705,0.04496996498303748,1000,main,fractional,183422,3344,237168,3344,237168,1.0
location_weight_mass,0.8,mae,0.0420916642152891,0.040840280981596915,0.043431779718216754,1000,main,fractional,183422,3344,237168,3344,237168,1.0
location_weight_mass,0.7,mae,0.04130594640235874,0.04009405749619319,0.04262301855901051,1000,main,fractional,183422,3344,237168,3344,237168,1.0
location_weight_mass,0.5,mae,0.04442808681660596,0.04297279860352305,0.04593980627174536,1000,main,fractional,183422,3344,237168,3344,237168,1.0
n_eff,,nAURC(MAE),0.985216260796049,0.9752407935894252,0.9948063063177643,1000,main,fractional,183422,3344,237168,3344,237168,1.0
n_eff,1.0,mae,0.04432089689707651,0.04299695687453817,0.045689993157712355,1000,main,fractional,183422,3344,237168,3344,237168,1.0
n_eff,0.95,mae,0.04399588574182035,0.04272073669701432,0.0453816369820155,1000,main,fractional,183422,3344,237168,3344,237168,1.0
n_eff,0.9,mae,0.043571184380166175,0.042265329980568735,0.04494374981065155,1000,main,fractional,183422,3344,237168,3344,237168,1.0
n_eff,0.8,mae,0.04335950022628345,0.042002876445196395,0.04480595854677576,1000,main,fractional,183422,3344,237168,3344,237168,1.0
n_eff,0.7,mae,0.04309388064887014,0.041709901897852536,0.04468176374387625,1000,main,fractional,183422,3344,237168,3344,237168,1.0
n_eff,0.5,mae,0.04454011692052657,0.04300854185954502,0.046213835586144565,1000,main,fractional,183422,3344,237168,3344,237168,1.0
neighborhood_compactness,,nAURC(MAE),0.9715557439828054,0.9615887175131104,0.9815323107080383,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
neighborhood_compactness,1.0,mae,0.04432089689707671,0.04299695687453842,0.04568999315771268,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
neighborhood_compactness,0.95,mae,0.04371261481324174,0.042408460596870964,0.04508241301421444,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
neighborhood_compactness,0.9,mae,0.04309055717357288,0.041759664309267246,0.044511997749115975,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
neighborhood_compactness,0.8,mae,0.04240514905626147,0.04099548047574674,0.04394322543154605,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
neighborhood_compactness,0.7,mae,0.042396423383009876,0.04098607804571044,0.04396723018297934,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
neighborhood_compactness,0.5,mae,0.044061870223231395,0.04240640325109459,0.04583302037943317,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
cct_weighted_std,,nAURC(MAE),0.8816107600321192,0.868892083415416,0.8932234072475773,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
cct_weighted_std,1.0,mae,0.044320896897075676,0.04299695687453721,0.045689993157711786,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
cct_weighted_std,0.95,mae,0.040767278959232135,0.03948118523091649,0.042101031558981816,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
cct_weighted_std,0.9,mae,0.039472891584976834,0.038193522857763965,0.04084515653880591,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
cct_weighted_std,0.8,mae,0.03908335788004061,0.03776003775805474,0.040535399748709865,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
cct_weighted_std,0.7,mae,0.038588110566141504,0.03726682663597663,0.040037620352898706,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
cct_weighted_std,0.5,mae,0.03728636241382914,0.03586119539825804,0.03888490336404037,1000,main,fractional,183422,3344,237168,3344,183422,0.7733842676921001
distance_min,,nAURC(MAE),0.8139803079984375,0.7989410743803763,0.8275990426186602,1000,main,fractional,183422,3344,237168,3344,237168,1.0
distance_min,1.0,mae,0.04432089689707617,0.04299695687453784,0.045689993157711974,1000,main,fractional,183422,3344,237168,3344,237168,1.0
distance_min,0.95,mae,0.04222744273397806,0.040917428356823965,0.043674207165180966,1000,main,fractional,183422,3344,237168,3344,237168,1.0
distance_min,0.9,mae,0.040148981021341124,0.038833043392225694,0.04149122588628871,1000,main,fractional,183422,3344,237168,3344,237168,1.0
distance_min,0.8,mae,0.03703077219555703,0.03572458965709279,0.03837779982196703,1000,main,fractional,183422,3344,237168,3344,237168,1.0
distance_min,0.7,mae,0.034338110206104076,0.03295463307727413,0.03577344675341082,1000,main,fractional,183422,3344,237168,3344,237168,1.0
distance_min,0.5,mae,0.029450591906224483,0.02805370103954519,0.030917853625267392,1000,main,fractional,183422,3344,237168,3344,237168,1.0
