dataset,metric,n_records,hard_naurc,fractional_naurc,randomized_naurc_min,randomized_naurc_max,randomized_naurc_spread,n_random_seeds
bus39,cct_weighted_std,1044773,0.7647655494027764,0.7647655494027867,0.7647655494027764,0.7647655494027764,0.0,20
bus39,distance_min,1044773,1.0335333240782103,1.0335345588542613,1.0335323058673889,1.033536728002394,4.4221350050666075e-06,20
bus39,location_weight_mass,1044773,0.9088614856837829,0.9088672157218759,0.9088596928601,0.9088796469681782,1.995410807820175e-05,20
bus39,n_eff,1044773,0.9575386161635479,0.9575376570977174,0.9575349737000052,0.9575388392642457,3.865564240479458e-06,20
bus39,neighborhood_compactness,1044773,1.0467216258784788,1.0467218964790526,1.0467215776370749,1.0467220953353145,5.176982396104535e-07,20
eles/2026-06,cct_weighted_std,183422,0.88161076003213,0.8816107600321192,0.8816107600321299,0.88161076003213,1.1102230246251565e-16,20
eles/2026-06,distance_min,183422,0.8139584559295256,0.8139803079984375,0.8139435500044349,0.8140081439414918,6.459393705693373e-05,20
eles/2026-06,location_weight_mass,183422,0.9661750524061702,0.9662680670996127,0.9660668020231646,0.9663396961929878,0.00027289416982312353,20
eles/2026-06,n_eff,183422,0.985215950928222,0.985216260796049,0.985215164954924,0.9852175321163623,2.3671614383102835e-06,20
eles/2026-06,neighborhood_compactness,183422,0.9715553180356192,0.9715557439828054,0.971537377766489,0.971569115638421,3.1737871932002726e-05,20
