variant,mae,rmse,n
oracle_generator_and_location,0.0181944837217315,0.02931999532446299,1044388
deoracled_generator_selection,0.018989937355959788,0.03084113976396286,1044793
deoracled_generator_screening_min,0.02043226949635566,0.03396586415977164,1044793
