crit_gen,n,metric,naurc
28w-g-000000072l,10986,n_unique_states,0.776396099576655
28w-g-000000072l,10986,neighborhood_compactness,0.8107710372781132
28w-g-000000072l,10986,cct_weighted_std,0.8484686771221596
28w-g-000000072l,10986,cct_distance_correlation_abs,1.1190076253372032
28w-g-000000072l,10986,distance_min,0.8647849753076526
28w-g-000000072l,10986,distance_mean,0.9282425215570613
28w-g-000000072l,10986,distance_median,0.9307298607536987
28w-g-000000072l,10986,distance_spread,1.1254127126137636
28w-g-000000072l,10986,distance_norm,0.8407922098920931
28w-g-000000039j,10568,location_weight_mass,0.88218859340666
28w-g-000000039j,10568,n_eff,1.0364563824151676
28w-g-000000039j,10568,n_eff_fraction,1.054995756005398
28w-g-000000039j,10568,n_neighbors,1.0075530092455074
28w-g-000000039j,10568,n_unique_states,1.0075530092455074
28w-g-000000039j,10568,neighborhood_compactness,0.9114988091780796
28w-g-000000039j,10568,cct_weighted_std,0.864577802706777
28w-g-000000039j,10568,cct_distance_correlation_abs,1.0805118608662392
28w-g-000000039j,10568,distance_min,0.8897515387490784
28w-g-000000039j,10568,distance_mean,0.9567719656593648
28w-g-000000039j,10568,distance_median,0.9683273454587837
28w-g-000000039j,10568,distance_spread,1.11803121667347
28w-g-000000039j,10568,distance_norm,0.8746466421111704
28w-g-000000025u,10318,location_weight_mass,0.8751073214846107
28w-g-000000025u,10318,n_eff,1.0475434228825988
28w-g-000000025u,10318,n_eff_fraction,1.0628680392638106
28w-g-000000025u,10318,n_neighbors,0.953649732743426
28w-g-000000025u,10318,n_unique_states,0.9376253026300656
28w-g-000000025u,10318,neighborhood_compactness,0.9839023512094688
28w-g-000000025u,10318,cct_weighted_std,0.8001603878482826
28w-g-000000025u,10318,cct_distance_correlation_abs,1.087404558960141
28w-g-000000025u,10318,distance_min,0.8517461528608387
28w-g-000000025u,10318,distance_mean,0.9772695604211333
28w-g-000000025u,10318,distance_median,0.9989727577210867
28w-g-000000025u,10318,distance_spread,1.1811940803234497
28w-g-000000025u,10318,distance_norm,0.8028776449330332
28w-g-000000037n,9756,location_weight_mass,1.1898047548886672
28w-g-000000037n,9756,n_eff,0.9725099566403029
28w-g-000000037n,9756,n_eff_fraction,0.9173027264309067
28w-g-000000037n,9756,n_neighbors,1.1020928738300984
28w-g-000000037n,9756,n_unique_states,1.0477770782651434
28w-g-000000037n,9756,neighborhood_compactness,1.027867143573825
28w-g-000000037n,9756,cct_weighted_std,0.7873972743906983
28w-g-000000037n,9756,cct_distance_correlation_abs,1.109359647257235
28w-g-000000037n,9756,distance_min,0.8792780811661216
28w-g-000000037n,9756,distance_mean,0.9592954881357654
28w-g-000000037n,9756,distance_median,0.9671211444994723
28w-g-000000037n,9756,distance_spread,1.0897977443991826
28w-g-000000037n,9756,distance_norm,0.8754319256219646
28w-g-000000068c,9202,location_weight_mass,0.98442305988683
28w-g-000000068c,9202,n_eff,1.0282804307678148
28w-g-000000068c,9202,n_eff_fraction,1.0475550971473473
28w-g-000000068c,9202,n_neighbors,0.9977171021588028
28w-g-000000068c,9202,n_unique_states,0.9623982033036547
28w-g-000000068c,9202,neighborhood_compactness,1.003644726644328
28w-g-000000068c,9202,cct_weighted_std,0.8464256480005182
28w-g-000000068c,9202,cct_distance_correlation_abs,1.0655563393562582
28w-g-000000068c,9202,distance_min,0.9427297214310384
28w-g-000000068c,9202,distance_mean,0.9965337764880512
28w-g-000000068c,9202,distance_median,1.00168762500093
28w-g-000000068c,9202,distance_spread,1.0820149669137142
28w-g-000000068c,9202,distance_norm,0.9168981882225669
28w-g-000000024w,8563,location_weight_mass,1.0098271931966118
28w-g-000000024w,8563,n_eff,1.0357103615307355
28w-g-000000024w,8563,n_eff_fraction,1.0946938327263391
28w-g-000000024w,8563,n_neighbors,0.9526977002948699
28w-g-000000024w,8563,n_unique_states,0.8839646430237371
28w-g-000000024w,8563,neighborhood_compactness,1.0056218919075346
28w-g-000000024w,8563,cct_weighted_std,0.8459087317155013
28w-g-000000024w,8563,cct_distance_correlation_abs,1.094942824737455
28w-g-000000024w,8563,distance_min,0.8470461989885812
28w-g-000000024w,8563,distance_mean,0.9254684599269849
28w-g-000000024w,8563,distance_median,0.9399547943059079
28w-g-000000024w,8563,distance_spread,1.132752651574026
28w-g-000000024w,8563,distance_norm,0.8550671695081615
28w-g-000000027q,8024,location_weight_mass,0.9396123414498141
28w-g-000000027q,8024,n_eff,1.0422504704333095
28w-g-000000027q,8024,n_eff_fraction,1.0121038397623008
28w-g-000000027q,8024,n_neighbors,0.9208822436217843
28w-g-000000027q,8024,n_unique_states,0.9225068924455857
28w-g-000000027q,8024,neighborhood_compactness,1.0114807641009482
28w-g-000000027q,8024,cct_weighted_std,0.851402110004275
28w-g-000000027q,8024,cct_distance_correlation_abs,1.0710651954238062
28w-g-000000027q,8024,distance_min,0.9233344916461904
28w-g-000000027q,8024,distance_mean,1.0253453737267562
28w-g-000000027q,8024,distance_median,1.0302411374875262
28w-g-000000027q,8024,distance_spread,1.1371664432302928
28w-g-000000027q,8024,distance_norm,0.8684552512415109
28w-g-000000058f,8006,location_weight_mass,0.9444220624045205
28w-g-000000058f,8006,n_eff,1.0090689313269119
28w-g-000000058f,8006,n_eff_fraction,1.072775641697767
28w-g-000000058f,8006,n_neighbors,0.914828959952852
28w-g-000000058f,8006,n_unique_states,0.914828959952852
28w-g-000000058f,8006,neighborhood_compactness,0.9447096884950574
28w-g-000000058f,8006,cct_weighted_std,0.7975239751780088
28w-g-000000058f,8006,cct_distance_correlation_abs,1.1407107678452102
28w-g-000000058f,8006,distance_min,0.8428626359387504
28w-g-000000058f,8006,distance_mean,0.9382760418240518
28w-g-000000058f,8006,distance_median,0.9467134487922627
28w-g-000000058f,8006,distance_spread,1.0834769755596398
28w-g-000000058f,8006,distance_norm,0.8475550135440918
28w-g-000000043s,7826,location_weight_mass,0.9697398415883471
28w-g-000000043s,7826,n_eff,1.0073641684682855
28w-g-000000043s,7826,n_eff_fraction,0.9334565775618747
28w-g-000000043s,7826,n_neighbors,1.040883050394802
28w-g-000000043s,7826,n_unique_states,1.077046139352246
28w-g-000000043s,7826,neighborhood_compactness,1.0062066131365377
28w-g-000000043s,7826,cct_weighted_std,0.9122029493689755
28w-g-000000043s,7826,cct_distance_correlation_abs,1.0757489204918538
28w-g-000000043s,7826,distance_min,0.9590319937682151
28w-g-000000043s,7826,distance_mean,0.9575200794749751
28w-g-000000043s,7826,distance_median,0.9621205934706328
28w-g-000000043s,7826,distance_spread,1.0328290331912613
28w-g-000000043s,7826,distance_norm,0.9721248633525078
28w-g-000000023y,6825,location_weight_mass,0.9921948284145922
28w-g-000000023y,6825,n_eff,0.9886783133404234
28w-g-000000023y,6825,n_eff_fraction,0.972024210196231
28w-g-000000023y,6825,n_neighbors,1.0334510125894616
28w-g-000000023y,6825,n_unique_states,1.0245481814152282
28w-g-000000023y,6825,neighborhood_compactness,1.0165546631199336
28w-g-000000023y,6825,cct_weighted_std,0.9024900171780914
28w-g-000000023y,6825,cct_distance_correlation_abs,1.0742084153795248
28w-g-000000023y,6825,distance_min,0.9414026145496779
28w-g-000000023y,6825,distance_mean,0.9472323708246047
28w-g-000000023y,6825,distance_median,0.9561415321195296
28w-g-000000023y,6825,distance_spread,1.0501847231564192
28w-g-000000023y,6825,distance_norm,0.957125973234485
28w-g-000000063m,6820,location_weight_mass,0.8702432186241402
28w-g-000000063m,6820,n_eff,0.9057359981437287
28w-g-000000063m,6820,n_eff_fraction,1.1618252871650385
28w-g-000000063m,6820,n_neighbors,0.8158313911111988
28w-g-000000063m,6820,n_unique_states,0.8505223924718835
28w-g-000000063m,6820,neighborhood_compactness,0.8627935708167627
28w-g-000000063m,6820,cct_weighted_std,0.7519998936509219
28w-g-000000063m,6820,cct_distance_correlation_abs,1.1234025944717034
28w-g-000000063m,6820,distance_min,0.8302825482084666
28w-g-000000063m,6820,distance_mean,0.9572476482347717
28w-g-000000063m,6820,distance_median,0.9631578556376027
28w-g-000000063m,6820,distance_spread,1.1276710223319246
28w-g-000000063m,6820,distance_norm,0.7837181439385082
28w-g-000000071n,6546,location_weight_mass,0.9251766359487239
28w-g-000000071n,6546,n_eff,0.9719277035826791
28w-g-000000071n,6546,n_eff_fraction,1.2261450378605705
28w-g-000000071n,6546,n_neighbors,0.6796175931957039
28w-g-000000071n,6546,n_unique_states,0.6850226197908731
28w-g-000000071n,6546,neighborhood_compactness,0.7886508440518235
28w-g-000000071n,6546,cct_weighted_std,0.8055260465421253
28w-g-000000071n,6546,cct_distance_correlation_abs,1.127500221018804
28w-g-000000071n,6546,distance_min,0.8207029094950302
28w-g-000000071n,6546,distance_mean,0.9083655285551289
28w-g-000000071n,6546,distance_median,0.9153093925290414
28w-g-000000071n,6546,distance_spread,1.1519336889483767
28w-g-000000071n,6546,distance_norm,0.8026902030707215
28w-g-000000121y,6457,location_weight_mass,1.0776693519079608
28w-g-000000121y,6457,n_eff,1.010512691866537
28w-g-000000121y,6457,n_eff_fraction,0.9827595999782969
28w-g-000000121y,6457,n_neighbors,1.0638243846965316
28w-g-000000121y,6457,n_unique_states,1.0638243846965316
28w-g-000000121y,6457,neighborhood_compactness,1.0200866513377762
28w-g-000000121y,6457,cct_weighted_std,0.8603406776185317
28w-g-000000121y,6457,cct_distance_correlation_abs,1.06442769659249
28w-g-000000121y,6457,distance_min,0.9353248117338564
28w-g-000000121y,6457,distance_mean,0.9686645425098837
28w-g-000000121y,6457,distance_median,0.9728226253151009
28w-g-000000121y,6457,distance_spread,1.0507614189785779
28w-g-000000121y,6457,distance_norm,0.9387227958580752
28w-g-000000070p,6433,location_weight_mass,0.9690772978644276
28w-g-000000070p,6433,n_eff,0.9972035876793299
28w-g-000000070p,6433,n_eff_fraction,1.2457021038326572
28w-g-000000070p,6433,n_neighbors,0.7074170696765069
28w-g-000000070p,6433,n_unique_states,0.657299126215959
28w-g-000000070p,6433,neighborhood_compactness,1.012953409959305
28w-g-000000070p,6433,cct_weighted_std,0.83590237384815
28w-g-000000070p,6433,cct_distance_correlation_abs,1.1853575725349315
28w-g-000000070p,6433,distance_min,0.7635183521639847
28w-g-000000070p,6433,distance_mean,0.8934738437796592
28w-g-000000070p,6433,distance_median,0.9203748236661237
28w-g-000000070p,6433,distance_spread,1.238593371663488
28w-g-000000070p,6433,distance_norm,0.6855161915210483
28w-g-000000018r,4915,location_weight_mass,0.9516298879710579
28w-g-000000018r,4915,n_eff,0.9638629686921946
28w-g-000000018r,4915,n_eff_fraction,1.2944050575137571
28w-g-000000018r,4915,n_neighbors,0.6271026286297093
28w-g-000000018r,4915,n_unique_states,0.60111207616342
28w-g-000000018r,4915,neighborhood_compactness,0.9292966367260109
28w-g-000000018r,4915,cct_weighted_std,0.7449388633240247
28w-g-000000018r,4915,cct_distance_correlation_abs,1.12739375372506
28w-g-000000018r,4915,distance_min,0.7049259988278669
28w-g-000000018r,4915,distance_mean,0.912199959801545
28w-g-000000018r,4915,distance_median,0.9266546837642945
28w-g-000000018r,4915,distance_spread,1.1857094554892997
28w-g-000000018r,4915,distance_norm,0.6660341102930782
28w-g-000000044q,4801,location_weight_mass,0.96927461195117
28w-g-000000044q,4801,n_eff,0.9767122642076161
28w-g-000000044q,4801,n_eff_fraction,1.1080604747024274
28w-g-000000044q,4801,n_neighbors,0.896824089242693
28w-g-000000044q,4801,n_unique_states,0.86189261328182
28w-g-000000044q,4801,neighborhood_compactness,0.9270151357695123
28w-g-000000044q,4801,cct_weighted_std,0.8564642524969681
28w-g-000000044q,4801,cct_distance_correlation_abs,1.1545485678430731
28w-g-000000044q,4801,distance_min,0.8810497938684843
28w-g-000000044q,4801,distance_mean,0.9051533784285217
28w-g-000000044q,4801,distance_median,0.905866197912707
28w-g-000000044q,4801,distance_spread,1.0963296716999815
28w-g-000000044q,4801,distance_norm,0.8793642549109477
28w-g-000000042u,4725,location_weight_mass,0.9496028974354138
28w-g-000000042u,4725,n_eff,0.9972529155638739
28w-g-000000042u,4725,n_eff_fraction,1.0793609391839707
28w-g-000000042u,4725,n_neighbors,0.9230157558865062
28w-g-000000042u,4725,n_unique_states,0.8987827582583914
28w-g-000000042u,4725,neighborhood_compactness,0.9626345800989685
28w-g-000000042u,4725,cct_weighted_std,0.87749746974441
28w-g-000000042u,4725,cct_distance_correlation_abs,1.118900535132958
28w-g-000000042u,4725,distance_min,0.9316327460530749
28w-g-000000042u,4725,distance_mean,0.9494344283356605
28w-g-000000042u,4725,distance_median,0.9547900238690908
28w-g-000000042u,4725,distance_spread,1.067661659751181
28w-g-000000042u,4725,distance_norm,0.9299135015798741
28w-g-000000062o,4570,location_weight_mass,0.8442320034856311
28w-g-000000062o,4570,n_eff,0.9354020571724715
28w-g-000000062o,4570,n_eff_fraction,1.0803576610807808
28w-g-000000062o,4570,n_neighbors,0.8755781643115168
28w-g-000000062o,4570,n_unique_states,0.9260748640524138
28w-g-000000062o,4570,neighborhood_compactness,0.8532950786018858
28w-g-000000062o,4570,cct_weighted_std,0.7367207665442372
28w-g-000000062o,4570,cct_distance_correlation_abs,1.1633314642264267
28w-g-000000062o,4570,distance_min,0.8707400801548554
28w-g-000000062o,4570,distance_mean,0.9879199913298459
28w-g-000000062o,4570,distance_median,0.9990282133205904
28w-g-000000062o,4570,distance_spread,1.0974084062543643
28w-g-000000062o,4570,distance_norm,0.8342096348873252
28w-g-000000064k,3826,location_weight_mass,0.9327423058327552
28w-g-000000064k,3826,n_eff,0.9514030340557504
28w-g-000000064k,3826,n_eff_fraction,0.9654559640505482
28w-g-000000064k,3826,n_neighbors,0.9819236094742485
