metric,coverage,quantity,point_estimate,ci_low,ci_high,n_bootstrap
location_weight_mass,,nAURC(MAE),0.9032865985631562,0.9003974599147958,0.9065793363525655,200
location_weight_mass,1.0,mae,0.018385195986110308,0.018288819962308463,0.018496011270710832,200
location_weight_mass,1.0,rmse,0.02962441873557353,0.029419839554098423,0.02985129253484255,200
location_weight_mass,0.95,mae,0.017459526455406993,0.01736196417758019,0.01756927918180912,200
location_weight_mass,0.95,rmse,0.026253893140237836,0.02606904962041107,0.026467284624258215,200
location_weight_mass,0.9,mae,0.01721469117200184,0.017120308015578383,0.017325933351969233,200
location_weight_mass,0.9,rmse,0.02596622426342727,0.02578263578995568,0.026187186622082834,200
location_weight_mass,0.8,mae,0.016764959471902305,0.01666491843370058,0.01686520895062441,200
location_weight_mass,0.8,rmse,0.02565322851092949,0.025461306548288175,0.025858938787092715,200
location_weight_mass,0.7,mae,0.015928522356182674,0.015832795431266616,0.01603530604555297,200
location_weight_mass,0.7,rmse,0.023648179264163294,0.023432355343518476,0.023893564495312852,200
location_weight_mass,0.5,mae,0.016137292696651914,0.016035218027706844,0.01625398952832518,200
location_weight_mass,0.5,rmse,0.024285575927676918,0.02401786832045748,0.024569431204855233,200
n_eff,,nAURC(MAE),0.9730812495376431,0.9699651339453745,0.9754078911093452,200
n_eff,1.0,mae,0.018385195986110308,0.018288819962308467,0.018496011270710832,200
n_eff,1.0,rmse,0.02962441873557353,0.029419839554098427,0.02985129253484255,200
n_eff,0.95,mae,0.01836944234453657,0.018271157541256165,0.01847876450418955,200
n_eff,0.95,rmse,0.029410108765306732,0.029191907031274833,0.029633011327248625,200
n_eff,0.9,mae,0.01825595524207841,0.018154199878693232,0.01836677618982671,200
n_eff,0.9,rmse,0.028787467819400874,0.028548835359029193,0.02897782221672604,200
n_eff,0.8,mae,0.01799097396806964,0.01788548478499826,0.01811469835249034,200
n_eff,0.8,rmse,0.02755189083766394,0.027322237956234424,0.027758344101618915,200
n_eff,0.7,mae,0.017728651924638666,0.017616961562603815,0.017848251127615216,200
n_eff,0.7,rmse,0.026390000328459062,0.026147232254909166,0.026618767738760273,200
n_eff,0.5,mae,0.017387358218407957,0.017272469708728123,0.017517640827984432,200
n_eff,0.5,rmse,0.02504880929659878,0.02483913593475659,0.025266925007723696,200
n_eff_fraction,,nAURC(MAE),1.027516195821686,1.0248794572474753,1.0302922921460078,200
n_eff_fraction,1.0,mae,0.018385195986110308,0.018288819962308467,0.018496011270710832,200
n_eff_fraction,1.0,rmse,0.02962441873557353,0.029419839554098423,0.02985129253484255,200
n_eff_fraction,0.95,mae,0.01848728853734981,0.01839660207816365,0.018604243463063833,200
n_eff_fraction,0.95,rmse,0.029834562158119974,0.02964072575813847,0.030040343325738534,200
n_eff_fraction,0.9,mae,0.018579987781574693,0.018487309936408996,0.01869998982497351,200
n_eff_fraction,0.9,rmse,0.030015466666831428,0.029822405300760454,0.03023394465288753,200
n_eff_fraction,0.8,mae,0.01878940311967099,0.01868313023970909,0.01890024546246359,200
n_eff_fraction,0.8,rmse,0.03048563199162267,0.030254188374020514,0.030723309666162504,200
n_eff_fraction,0.7,mae,0.019005900409672854,0.018887611309419097,0.019126460792982036,200
n_eff_fraction,0.7,rmse,0.03077877664821016,0.030524132794981552,0.031028995031095363,200
n_eff_fraction,0.5,mae,0.019372458160436142,0.019253532507987402,0.019499113610630836,200
n_eff_fraction,0.5,rmse,0.0311875713900245,0.030880705888714943,0.03148201272937244,200
n_neighbors,,nAURC(MAE),0.9267597743039824,0.9245945404481021,0.9285754525575655,200
n_neighbors,1.0,mae,0.018385195986110308,0.018288819962308467,0.018496011270710832,200
n_neighbors,1.0,rmse,0.02962441873557353,0.029419839554098423,0.02985129253484255,200
n_neighbors,0.95,mae,0.01813510447016364,0.018042587880686155,0.018243743815620824,200
n_neighbors,0.95,rmse,0.028625741333142683,0.028403881706956523,0.028833031455524405,200
n_neighbors,0.9,mae,0.017826026293713673,0.01772649057836396,0.01794266071388986,200
n_neighbors,0.9,rmse,0.027320596336049538,0.027093773651981387,0.027549851391541452,200
n_neighbors,0.8,mae,0.016941201361147636,0.016849408705710917,0.017052521420308355,200
n_neighbors,0.8,rmse,0.02400416916632346,0.023839240134524996,0.024155022436251984,200
n_neighbors,0.7,mae,0.0164749380065937,0.0163797246861765,0.0166003805054573,200
n_neighbors,0.7,rmse,0.0226424243078711,0.02248922237561603,0.022784429593032417,200
n_neighbors,0.5,mae,0.016481170112320732,0.01636091271942871,0.016596369347443945,200
n_neighbors,0.5,rmse,0.022652705111313974,0.022466863559415084,0.02281339462344901,200
n_unique_states,,nAURC(MAE),0.9267597743039824,0.9245945404481021,0.9285754525575655,200
n_unique_states,1.0,mae,0.018385195986110308,0.018288819962308467,0.018496011270710832,200
n_unique_states,1.0,rmse,0.02962441873557353,0.029419839554098423,0.02985129253484255,200
n_unique_states,0.95,mae,0.01813510447016364,0.018042587880686155,0.018243743815620824,200
n_unique_states,0.95,rmse,0.028625741333142683,0.028403881706956523,0.028833031455524405,200
n_unique_states,0.9,mae,0.017826026293713673,0.01772649057836396,0.01794266071388986,200
n_unique_states,0.9,rmse,0.027320596336049538,0.027093773651981387,0.027549851391541452,200
n_unique_states,0.8,mae,0.016941201361147636,0.016849408705710917,0.017052521420308355,200
n_unique_states,0.8,rmse,0.02400416916632346,0.023839240134524996,0.024155022436251984,200
n_unique_states,0.7,mae,0.0164749380065937,0.0163797246861765,0.0166003805054573,200
n_unique_states,0.7,rmse,0.0226424243078711,0.02248922237561603,0.022784429593032417,200
n_unique_states,0.5,mae,0.016481170112320732,0.01636091271942871,0.016596369347443945,200
n_unique_states,0.5,rmse,0.022652705111313974,0.022466863559415084,0.02281339462344901,200
neighborhood_compactness,,nAURC(MAE),1.0392346829385595,1.0363506399416216,1.0420447465436993,200
neighborhood_compactness,1.0,mae,0.018380626671580448,0.01828361117738518,0.018492214459552028,200
neighborhood_compactness,1.0,rmse,0.02961406375094692,0.029411945918440346,0.029834531470026265,200
neighborhood_compactness,0.95,mae,0.018522708082309748,0.018434002590158843,0.018636833208381293,200
neighborhood_compactness,0.95,rmse,0.029999677544441657,0.029797131342608595,0.030233240538013784,200
neighborhood_compactness,0.9,mae,0.01866604007222686,0.018575085279269883,0.01878845965596368,200
neighborhood_compactness,0.9,rmse,0.030389674907839056,0.030169723465311618,0.030631063694357828,200
neighborhood_compactness,0.8,mae,0.019024059604491526,0.01890671171848789,0.019139764841324087,200
neighborhood_compactness,0.8,rmse,0.031189431808350793,0.0309731695035761,0.031426241241553236,200
neighborhood_compactness,0.7,mae,0.019294801828798364,0.019175269095917376,0.01942020373307112,200
neighborhood_compactness,0.7,rmse,0.031651374610647626,0.03140796430098016,0.03187863743396963,200
neighborhood_compactness,0.5,mae,0.019696158227024963,0.019583052288535283,0.01984173078737044,200
neighborhood_compactness,0.5,rmse,0.03169224941501794,0.03140950970215152,0.03200712938603187,200
