fold,K,alpha,coverage,mae,rmse,mse,median_ae,max_ae,ae_q00,ae_q25,ae_q50,ae_q75,ae_q90,ae_q95,ae_q99,ae_q100
0,25,0.5,1.0,0.018017252868547565,0.03183978604935655,0.0010137719756688,0.012315003281360093,0.8660397104380045,0.0,0.005835267322845977,0.012315003281360093,0.02192695508297976,0.03581159677219962,0.0492290432081373,0.11829269313309637,0.8660397104380045
0,25,1.0,1.0,0.017912929378492058,0.0317517138751415,0.0010081713340088535,0.012216107865615278,0.8656534367378123,0.0,0.005783712751620457,0.012216107865615278,0.02181418547091102,0.03567909256682203,0.04921299243837154,0.11604605666734608,0.8656534367378123
0,25,2.0,1.0,0.017909546629284217,0.03181478328256321,0.0010121804353164633,0.012119590829470644,0.8648087826074582,0.0,0.00568085244334654,0.012119590829470644,0.022053206496643774,0.035814893360853736,0.049459892215289465,0.11595366755167066,0.8648087826074582
0,50,0.5,1.0,0.018194913615903936,0.0302560005484861,0.000915425569189991,0.012640620312834527,0.733167725913465,0.0,0.005961526471501805,0.012640620312834527,0.022462790474027716,0.03639004253586939,0.050437107493727006,0.11240557129194868,0.733167725913465
0,50,1.0,1.0,0.017995155306576287,0.03006127080085269,0.0009036800021621986,0.012396898915440657,0.7336358759190246,0.0,0.005900128601738275,0.012396898915440657,0.022156588304227898,0.036091174086112066,0.05015460969870426,0.11183815689546535,0.7336358759190246
0,50,2.0,1.0,0.01777236577720691,0.02990428322125512,0.0008942661549770403,0.012203557732324677,0.7348833604394043,0.0,0.005760441227287971,0.012203557732324677,0.022055075029538462,0.03554461395514945,0.049368007239548733,0.11071888884821322,0.7348833604394043
0,100,0.5,1.0,0.018534017169991777,0.030300915919679667,0.0009181455055714968,0.012776146206630923,0.5544033828352692,0.0,0.005991715097960648,0.012776146206630923,0.022877879443555252,0.03744461709965137,0.05173058944381895,0.11223807508008436,0.5544033828352692
0,100,1.0,1.0,0.018247024997044906,0.029871997311109788,0.0008923362233549504,0.012520385641773824,0.5582822453613285,0.0,0.005977268652560486,0.012520385641773824,0.022480601822326987,0.03686358059839207,0.05110332741110403,0.11025379344351455,0.5582822453613285
0,100,2.0,1.0,0.017842658124678005,0.029399868836915914,0.0008643522876278594,0.012199240608183337,0.569656679068036,0.0,0.005767318181845532,0.012199240608183337,0.022158459312279624,0.03592561054128793,0.050267945360161465,0.11196891996604649,0.569656679068036
0,200,0.5,1.0,0.019198668892237064,0.031503107078457666,0.0009924457555967694,0.013211360901928149,0.5536007710485722,9.011634305444716e-07,0.006163295924089207,0.013211360901928149,0.023854712441706616,0.038612021762434945,0.05377794519679924,0.11756989973056921,0.5536007710485722
0,200,1.0,1.0,0.018743268509705643,0.030604161800739077,0.000936614719525817,0.012884549907503096,0.5564279125142639,1.9064873491014822e-06,0.006045239683429293,0.012884549907503096,0.02311952447345915,0.03796962776554179,0.05292090412222011,0.11448996035957364,0.5564279125142639
0,200,2.0,1.0,0.018085754921088944,0.02971062342764094,0.0008827211444590866,0.012396945825414729,0.5668545905968163,1.9611094294047504e-06,0.005848420954515959,0.012396945825414729,0.022378089763451958,0.036712770930855246,0.05095788403621217,0.10834699033629157,0.5668545905968163
